Date,AQI,Carbon monoxide,Sulfur dioxide,Nitrogen dioxide (NO2),Ozone,PM2.5 - Local Conditions,Outdoor Temperature
2019-01-01,54.0,0.2100405,0.1708333333333333,9.563095142857142,0.022600000000000002,5.074179166666666,49.4216666
2019-01-02,68.0,0.23055483333333335,0.360516,16.135119,0.0145764,6.245139000000001,36.9675
2019-01-03,59.0,0.27283233333333334,0.4420635,20.259498,0.009604,6.126785714285715,40.3316666
2019-01-04,64.0,0.41647683333333335,0.8441918333333334,25.926355142857144,0.0046354,13.626388833333332,40.1391668
2019-01-05,56.0,0.32546916666666664,0.3166665,17.349285714285713,0.0155764,7.729166833333333,43.0433334
2019-01-06,57.0,0.1972843333333333,0.28750000000000003,9.372483142857144,0.027800200000000004,6.825,41.305
2019-01-07,48.0,0.25400566666666663,0.39948999999999996,17.37380942857143,0.0191292,3.5953201666666668,28.878333400000002
2019-01-08,77.0,0.605492,0.6326388333333334,33.15432885714286,0.0052585999999999996,16.354861166666666,39.7875
2019-01-09,51.0,0.2544921666666667,0.26577366666666663,12.058874428571428,0.0214118,2.942857142857143,40.8358334
2019-01-10,53.0,0.17877766666666664,0.2764881666666667,8.533333285714287,0.0262338,2.3818781666666666,31.641666799999996
2019-01-11,54.0,0.18827349999999998,0.38611100000000004,11.112670142857143,0.0304732,3.3941665999999997,25.4666666
2019-01-12,53.0,0.2401905,0.44015166666666666,15.316447428571427,0.024675,4.4,26.8625002
2019-01-13,53.0,0.2237675,0.24027783333333333,10.845102142857144,0.027353,4.9008334,27.7041666
2019-01-14,53.0,0.3257873333333334,0.43675983333333335,19.51404757142857,0.013765,7.1822115,26.1141668
2019-01-15,64.0,0.5164611666666666,1.0174998,29.352262,0.008917600000000001,12.342857142857143,29.3691664
2019-01-16,70.0,0.39632433333333333,0.7728173333333334,24.89440457142857,0.0170416,14.997916666666667,33.6766666
2019-01-17,54.0,0.2858713333333333,0.3904166666666667,18.84226185714286,0.0160824,5.670202,28.5241668
2019-01-18,94.0,0.47882033333333335,0.5625,32.15059528571429,0.0046,15.5006945,33.121666600000005
2019-01-19,61.0,0.34814799999999996,0.5479168333333333,19.98154757142857,0.0194472,11.165972333333334,34.4258332
